Street,City,State,ZIP Code,Price,Beds,Baths,Square Feet,URL
405 Oak Ave,Harahan,LA,70123,199000,2,2,1326,https://www.redfin.com/LA/New-Orleans/405-Oak-Ave-70123/home/85194471
404 Federal Dr,Avondale,LA,70094,185000,4,2,1400,https://www.redfin.com/LA/Westwego/404-Federal-Dr-70094/home/79453322
5121 Wm Adam St,Lafitte,LA,70067,135000,3,2,1800,https://www.redfin.com/LA/Lafitte/5121-NW-Adams-St-70067/home/194076226
42 Cynthia St,Waggaman,LA,70094,192000,4,2,1644,https://www.redfin.com/LA/Westwego/42-Cynthia-St-70094/home/85144857
9 Four Oclock Ln,Waggaman,LA,70094,130000,5,2,1925,https://www.redfin.com/LA/Westwego/9-Four-Oclock-Ln-70094/home/85144996
527 N Marlin Ct,Gretna,LA,70056,210000,5,3.5,3700,https://www.redfin.com/LA/Terrytown/527-N-Marlin-Ct-70056/home/85220958
113 Winnona Dr,Avondale,LA,70094,185000,3,2,1465,https://www.redfin.com/LA/Westwego/113-Winnona-Dr-70094/home/79379750
2108 Rue Racine,Marrero,LA,70072,180000,3,2,1400,https://www.redfin.com/LA/Marrero/2108-Rue-Racine-70072/home/85134440
1925 Pailet Ave,Harvey,LA,70058,190000,4,2,2641,https://www.redfin.com/LA/Harvey/1925-Pailet-Ave-70058/home/85123479
1005 35 Th St,Gretna,LA,70053,195000,3,1.5,1359,https://www.redfin.com/LA/Gretna/1005-35th-St-70053/home/85114759
3008 Lake Villa Dr,Metairie,LA,70002,138900,2,2,1268,https://www.redfin.com/LA/Metairie/3008-Lake-Villa-Dr-70002/home/85158014
3135 Mary Dr,Marrero,LA,70072,190000,3,2,1400,https://www.redfin.com/LA/Marrero/3135-Mary-Dr-70072/home/85137706
927 Avenue A Ave,Marrero,LA,70072,190000,3,2,1256,https://www.redfin.com/LA/Marrero/927-Avenue-A-70072/home/85225125
504 Ruth Dr,Avondale,LA,70094,199000,4,2,1419,https://www.redfin.com/LA/Westwego/504-Ruth-Dr-70094/home/85229351
900 Keller Ave,Westwego,LA,70094,190000,3,2,1850,https://www.redfin.com/LA/Westwego/900-Keller-Ave-70094/home/85139870
2781 Colony Ct,Marrero,LA,70072,189000,3,2,1400,https://www.redfin.com/LA/Marrero/2781-Colony-Ct-70072/home/85136891
816 Ruth Dr,Avondale,LA,70094,199900,3,1.5,1424,https://www.redfin.com/LA/Westwego/816-Ruth-Dr-70094/home/79343708
427 Bluebonnet St,Terrytown,LA,70056,175000,2,1.5,1221,https://www.redfin.com/LA/Terrytown/427-Bluebonnet-St-70056/home/85118489
114-B West Central,Grand Isle,LA,70358,220000,3,2,1200,https://www.redfin.com/LA/Grand-Isle/114-W-Central-Ave-70358/home/85231538
2012 Lincolnshire Dr,Marrero,LA,70072,149200,4,2.5,2119,https://www.redfin.com/LA/Marrero/2012-Lincolnshire-Dr-70072/home/85133349
166 Smith Ln,Grand Isle,LA,70358,199900,2,2,4594,https://www.redfin.com/LA/Grand-Isle/166-Smith-Ln-70358/home/85202558
117 Mulberry Ln,Grand Isle,LA,70358,195000,3,3,2025,https://www.redfin.com/LA/Grand-Isle/117-Mulberry-Ln-70358/home/185970578
