Street,City,State,ZIP Code,Price,Beds,Baths,Square Feet,URL,Coordinates,Drive Time (mins),Distance (miles)
1979 Palmetto St,Lafitte,LA,70067,190000,3,2,1306,https://www.redfin.com/LA/Lafitte/1979-Palmetto-St-70067/home/85230611,"29.750320985797, -90.134494970615",34.3,21.2
2109 James Dr,Marrero,LA,70072,210000,3,2,1324,https://www.redfin.com/LA/Marrero/2109-James-Dr-70072/home/85225796,"29.869432020872, -90.109489993243",18.1,10.9
2552 E Catawba Dr,Harvey,LA,70058,220000,3,2,1658,https://www.redfin.com/LA/Harvey/2552-E-Catawba-Dr-70058/home/79348482,"29.856747016244, -90.079242973625",20.1,10.8
405 Oak Ave,Harahan,LA,70123,199000,2,2,1326,https://www.redfin.com/LA/New-Orleans/405-Oak-Ave-70123/home/85194471,"29.94168000293, -90.197121030743",18.0,9.1
404 Federal Dr,Avondale,LA,70094,185000,4,2,1400,https://www.redfin.com/LA/Westwego/404-Federal-Dr-70094/home/79453322,"29.919071998409, -90.21960900641",25.9,13.4
5121 Wm Adam St,Lafitte,LA,70067,135000,3,2,1800,https://www.redfin.com/LA/Lafitte/5121-NW-Adams-St-70067/home/194076226,"29.683184029486, -90.100281182106",43.9,26.6
42 Cynthia St,Waggaman,LA,70094,192000,4,2,1644,https://www.redfin.com/LA/Westwego/42-Cynthia-St-70094/home/85144857,"29.951705010585, -90.242142998726",31.1,16.5
9 Four Oclock Ln,Waggaman,LA,70094,130000,5,2,1925,https://www.redfin.com/LA/Westwego/9-Four-Oclock-Ln-70094/home/85144996,"29.948624996445, -90.238957037329",29.6,15.7
527 N Marlin Ct,Gretna,LA,70056,210000,5,3.5,3700,https://www.redfin.com/LA/Terrytown/527-N-Marlin-Ct-70056/home/85220958,"29.906788989858, -90.020493040802",11.8,5.5
113 Winnona Dr,Avondale,LA,70094,185000,3,2,1465,https://www.redfin.com/LA/Westwego/113-Winnona-Dr-70094/home/79379750,"29.89525800566, -90.209662034274",26.7,13.6
2108 Rue Racine,Marrero,LA,70072,180000,3,2,1400,https://www.redfin.com/LA/Marrero/2108-Rue-Racine-70072/home/85134440,"29.871727991789, -90.114235994459",18.0,10.7
1925 Pailet Ave,Harvey,LA,70058,190000,4,2,2641,https://www.redfin.com/LA/Harvey/1925-Pailet-Ave-70058/home/85123479,"29.882856979912, -90.069121993179",14.8,8.2
1005 35 Th St,Gretna,LA,70053,195000,3,1.5,1359,https://www.redfin.com/LA/Gretna/1005-35th-St-70053/home/85114759,"29.885101988858, -90.047545968577",15.7,7.6
3008 Lake Villa Dr,Metairie,LA,70002,138900,2,2,1268,https://www.redfin.com/LA/Metairie/3008-Lake-Villa-Dr-70002/home/85158014,"30.002023000271, -90.176619985223",14.3,8.2
3135 Mary Dr,Marrero,LA,70072,190000,3,2,1400,https://www.redfin.com/LA/Marrero/3135-Mary-Dr-70072/home/85137706,"29.84688901801, -90.120268031079",20.9,12.2
927 Avenue A Ave,Marrero,LA,70072,190000,3,2,1256,https://www.redfin.com/LA/Marrero/927-Avenue-A-70072/home/85225125,"29.894195012699, -90.092652007049",14.0,7.9
504 Ruth Dr,Avondale,LA,70094,199000,4,2,1419,https://www.redfin.com/LA/Westwego/504-Ruth-Dr-70094/home/85229351,"29.900925010397, -90.210972963931",25.4,13.3
900 Keller Ave,Westwego,LA,70094,190000,3,2,1850,https://www.redfin.com/LA/Westwego/900-Keller-Ave-70094/home/85139870,"29.897993984585, -90.137567021948",16.4,10.8
2781 Colony Ct,Marrero,LA,70072,189000,3,2,1400,https://www.redfin.com/LA/Marrero/2781-Colony-Ct-70072/home/85136891,"29.849397009168, -90.112905032054",20.3,11.8
816 Ruth Dr,Avondale,LA,70094,199900,3,1.5,1424,https://www.redfin.com/LA/Westwego/816-Ruth-Dr-70094/home/79343708,"29.895476018961, -90.213108002307",26.9,13.7
427 Bluebonnet St,Terrytown,LA,70056,175000,2,1.5,1221,https://www.redfin.com/LA/Terrytown/427-Bluebonnet-St-70056/home/85118489,"29.910764987539, -90.025826026698",11.2,5.2
114-B West Central,Grand Isle,LA,70358,220000,3,2,1200,https://www.redfin.com/LA/Grand-Isle/114-W-Central-Ave-70358/home/85231538,"29.211265130142, -90.050164302929",145.6,102.4
2012 Lincolnshire Dr,Marrero,LA,70072,149200,4,2.5,2119,https://www.redfin.com/LA/Marrero/2012-Lincolnshire-Dr-70072/home/85133349,"29.877305016796, -90.121199009065",18.2,11.2
166 Smith Ln,Grand Isle,LA,70358,199900,2,2,4594,https://www.redfin.com/LA/Grand-Isle/166-Smith-Ln-70358/home/85202558,"29.238341575764, -89.989132997241",157.3,107.1
117 Mulberry Ln,Grand Isle,LA,70358,195000,3,3,2025,https://www.redfin.com/LA/Grand-Isle/117-Mulberry-Ln-70358/home/185970578,"29.219722, -90.019973",151.7,104.9
